CODI_ESTACIO,DATA_LECTURA,TM,TX,TN,HRM,PPT24H,HPA,RS24H,VVM10,DVM10,VVX10,DVX10
X8,01/05/2008,16.5,22,10.7,60,0,1006.4,28.3,,160,7.6,170
X8,02/05/2008,18.2,24.2,11.4,49,0,1011,27.5,,178,5.2,170
X8,03/05/2008,19.5,25.4,13.5,35,0,1011.4,27.8,,200,7.2,195
X8,04/05/2008,19.6,25.1,14.3,39,0,1009.3,28.1,,220,7.9,228
X8,05/05/2008,20.2,27,15.8,53,0,1008.1,20.6,,143,6.6,74
X8,06/05/2008,19.1,24.3,16.1,70,0,1008.8,26.3,,101,8.7,80
X8,07/05/2008,18.3,22.6,15.6,62,0,1007.5,26.9,,87,8.9,88
X8,08/05/2008,17.8,21.7,14.7,65,0,1004.6,18.9,,81,8.7,93
X8,09/05/2008,14.4,17.8,12.7,84,33.8,1000.6,2.7,,58,14.5,74
X8,10/05/2008,14.1,16.2,12.6,90,62.3,998.1,2.3,,70,15.6,78
X8,11/05/2008,16,19,13.9,78,0.9,1002.8,20.2,,85,12.9,97
X8,12/05/2008,16.7,20.9,13.9,64,0,1004.4,14,,65,9.7,26
X8,13/05/2008,17.7,22.1,13.8,62,0,1004.8,28.3,,216,9.4,167
X8,14/05/2008,17.1,21.8,13.2,78,0,1004.3,16.9,,222,6.6,174
X8,15/05/2008,18.3,24.1,15.8,81,0.5,1001.8,19,,215,7.7,168
X8,16/05/2008,18.3,23.8,15.3,78,0,998.8,18.9,,132,6.1,154
X8,17/05/2008,16.9,20.1,14.2,78,3.1,998.5,9.1,,120,6.3,139
X8,18/05/2008,18.2,23.7,14.5,70,0.1,998.2,26.2,,215,8.4,229
X8,19/05/2008,16.4,20.3,14.3,72,0.5,995.6,9.6,,300,12.3,300
X8,20/05/2008,19.1,27.3,14.7,60,0,997.4,27.9,,304,11.7,308
X8,21/05/2008,19.6,25.7,14.6,65,0,1001.4,28,,128,8.7,209
X8,22/05/2008,18.3,22.9,15.4,73,1.8,1003.4,16.7,,81,6.8,73
X8,23/05/2008,18.9,24.1,14.9,74,0,1000.8,15.4,,199,5.8,160
X8,24/05/2008,19.4,23.4,17.1,80,4.7,997.8,16.5,,198,7.1,197
X8,25/05/2008,16.7,18.5,13.5,86,10.9,998.5,2.4,,131,10,162
X8,26/05/2008,19,25.6,13.6,61,1.1,997.7,19.2,,290,9.2,303
X8,27/05/2008,17.4,22.5,15.1,73,4,994.5,12,,287,7.8,273
X8,28/05/2008,18,22.3,14.2,76,0,1002,16.4,,114,5.8,102
X8,29/05/2008,19.6,24.3,14.2,60,0.1,1000.9,28.9,,250,9.7,196
X8,30/05/2008,20.9,27.1,15.8,58,0,1001.8,27.2,,162,7.2,172
X8,31/05/2008,18.7,20.7,17.3,81,0.2,1004.5,8.8,,93,8.9,100
X8,01/06/2008,17.8,21.6,15.6,84,4.2,1003.4,11.3,,184,6,150
X8,02/06/2008,18.9,23.6,14.8,76,0,1005.1,22.5,,106,5.9,99
X8,03/06/2008,18.9,24,16,75,6.5,1007.2,19,,147,7.2,146
X8,04/06/2008,19.4,24.5,14.1,69,0,1006.6,29,,246,9.4,240
X8,05/06/2008,18.9,24.9,14.9,78,18.9,1004.3,15.5,,79,8.7,56
X8,06/06/2008,19.2,24.8,14.5,73,1,1005.2,27.4,,223,11,33
X8,07/06/2008,18.2,22.7,14.5,66,1.5,1007.1,20.7,,195,8.3,312
X8,08/06/2008,18.9,23.6,14.6,67,0,1006.4,27.2,,192,6.7,166
X8,09/06/2008,19.9,25.4,16,66,0,1007.3,23.4,,99,9.7,116
X8,10/06/2008,18.4,21.4,16.9,77,2,1008.6,9.2,,79,10.8,81
X8,11/06/2008,19.9,23.9,15.7,71,0.4,1007,26.6,,83,8,88
X8,12/06/2008,22.6,29.4,17.4,61,0,1004.1,29,,283,8.9,235
X8,13/06/2008,20,24.2,17,74,0,1004.8,18.8,,94,9.5,65
X8,14/06/2008,19.1,23.3,16.5,71,0,1007.2,16.9,,183,8.1,195
X8,15/06/2008,19.3,22.1,16.2,83,0,1002.6,8.7,,212,6.8,212
X8,16/06/2008,21.3,25.7,18.4,68,0.2,996.7,23.1,,177,7.5,174
X8,17/06/2008,20.2,25.3,17.4,73,0.3,1002.4,15.4,,257,8.8,205
X8,18/06/2008,21.9,26.3,16.9,60,0,1007.8,31.6,,249,11,222
X8,19/06/2008,22.9,27.8,17.8,67,0,1009,30.7,,222,9.2,207
X8,20/06/2008,24.8,30.8,18.7,50,0,1009.6,31,,226,8.9,211
X8,21/06/2008,26.2,33.8,19.7,42,0,1008.9,30.5,,224,8.3,213
X8,22/06/2008,27.3,33.6,21.1,35,0,1008.4,31.8,,181,6.6,153
X8,23/06/2008,26,32.7,20.8,41,0,1007.3,29.1,,82,8.2,93
X8,24/06/2008,24.4,27.8,21.9,64,0,1004.2,18.3,,80,11.8,91
X8,25/06/2008,26.4,31.9,20.8,54,0,1006.3,28.5,,261,7.6,297
X8,26/06/2008,27.5,32.5,22.4,48,0,1007.6,29.4,,211,8.6,206
X8,27/06/2008,25.4,30.8,19.4,60,10,1009,24.6,,304,12.6,335
X8,28/06/2008,26.2,31,21.5,61,0,1008.6,30.1,,196,7.8,190
X8,29/06/2008,26.5,32,21.6,62,0,1007.8,30.3,,217,7.2,182
X8,30/06/2008,27.8,33.5,22.3,46,0,1007.5,29.3,,225,8.5,225
X8,01/07/2008,27.1,32.1,23.4,54,0,1004.9,29.4,,231,9.9,205
X8,02/07/2008,25.7,30,22.9,69,0,1002.2,22.5,,228,7.7,195
X8,03/07/2008,23.8,27.2,19.9,69,1.3,1002.7,15.9,,92,9.4,90
X8,04/07/2008,23.8,27.8,18.9,61,0,1006.2,30.6,,236,11.6,215
X8,05/07/2008,25.5,30.1,21.2,73,0,1003.8,30,,215,9.3,227
X8,06/07/2008,25.3,32,21.8,72,0,1001.2,23.6,,132,8.5,68
X8,07/07/2008,23.3,27.9,20.2,61,0,1004.6,20.8,,132,7.3,140
X8,08/07/2008,23.4,27.6,18.8,61,0,1009.5,27.3,,183,8.5,154
